configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,739163,0m1.687s
1,tiff,1,1,0,1,739165,0m1.683s
10,png,1,0,1,1,739161,0m1.687s
11,png,1,0,0,1,739164,0m1.684s
12,png,0,1,0,0,3168071,0m5.424s
13,png,0,0,0,0,3168070,0m5.404s
14,png,0,0,0,1,3168073,0m5.410s
15,png,0,1,1,0,3168071,0m5.414s
2,tiff,1,0,1,1,739165,0m1.684s
3,tiff,1,0,0,1,739164,0m1.713s
4,tiff,0,1,0,0,4807711,0m1.816s
5,tiff,0,0,0,0,4807702,0m1.801s
6,tiff,0,0,0,1,4807625,0m1.829s
7,tiff,0,1,1,0,4807711,0m1.820s
8,png,1,1,1,1,739164,0m1.709s
9,png,1,1,0,1,739160,0m1.708s
