configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,3272440,2.3
1,50%,xz,-3,1,3272440,2.425
10,100%,xz,-9,1,2849908,5.925
11,50%,lzma,-6,16,2849620,5.872
12,75%,xz,-3,32,3272440,2.295
13,50%,lzma,-3,16,3271884,2.291
14,50%,lzma,-6,32,2849620,5.879
15,50%,xz,-6,32,2850104,5.859
16,75%,lzma,-3,16,3271884,2.266
17,75%,lzma,-6,32,2849620,5.855
18,100%,lzma,-6,1,2849620,5.852
19,75%,lzma,-3,1,3271884,2.287
2,75%,xz,-9,16,2849908,5.922
20,75%,lzma,-6,1,2849620,5.854
21,75%,lzma,-6,16,2849620,5.834
22,100%,xz,-9,32,2849908,5.888
23,100%,xz,-9,16,2849908,5.876
24,50%,lzma,-9,32,2849422,5.896
25,50%,lzma,-3,32,3271884,2.276
26,100%,xz,-3,1,3272440,2.299
27,100%,lzma,-9,16,2849422,5.912
28,100%,lzma,-3,1,3271884,2.286
29,50%,lzma,-6,1,2849620,5.817
3,100%,xz,-6,32,2850104,5.858
4,50%,lzma,-3,1,3271884,2.292
5,75%,xz,-3,1,3272440,2.319
6,100%,lzma,-6,16,2849620,5.831
7,75%,xz,-6,32,2850104,5.833
8,50%,xz,-3,32,3272440,2.3
9,75%,xz,-9,32,2849908,5.908
