configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,15255243,0m8.247s
1,tiff,1,1,0,1,15255494,0m8.298s
10,png,1,0,1,1,15095077,0m24.763s
11,png,1,0,0,1,15095083,0m24.798s
12,png,0,1,0,0,14807426,0m31.613s
13,png,0,0,0,0,14807399,0m31.616s
14,png,0,0,0,1,14807411,0m31.598s
15,png,0,1,1,0,14807395,0m31.510s
2,tiff,1,0,1,1,15255234,0m8.242s
3,tiff,1,0,0,1,15255418,0m8.276s
4,tiff,0,1,0,0,14377410,0m8.758s
5,tiff,0,0,0,0,14377465,0m8.786s
6,tiff,0,0,0,1,14377405,0m8.759s
7,tiff,0,1,1,0,14377507,0m8.728s
8,png,1,1,1,1,15095068,0m24.884s
9,png,1,1,0,1,15095038,0m24.927s
