configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,1677976,1.703
1,50%,xz,-3,1,1677976,1.682
10,100%,xz,-9,1,1317152,4.891
11,50%,lzma,-6,16,1316901,4.86
12,75%,xz,-3,32,1677976,1.701
13,50%,lzma,-3,16,1677670,1.706
14,50%,lzma,-6,32,1316901,4.821
15,50%,xz,-6,32,1317152,4.857
16,75%,lzma,-3,16,1677670,1.737
17,75%,lzma,-6,32,1316901,4.826
18,100%,lzma,-6,1,1316901,4.819
19,75%,lzma,-3,1,1677670,1.678
2,75%,xz,-9,16,1317152,4.915
20,75%,lzma,-6,1,1316901,4.806
21,75%,lzma,-6,16,1316901,4.791
22,100%,xz,-9,32,1317152,4.929
23,100%,xz,-9,16,1317152,4.891
24,50%,lzma,-9,32,1316901,4.893
25,50%,lzma,-3,32,1677670,1.709
26,100%,xz,-3,1,1677976,1.681
27,100%,lzma,-9,16,1316901,4.904
28,100%,lzma,-3,1,1677670,1.739
29,50%,lzma,-6,1,1316901,4.857
3,100%,xz,-6,32,1317152,4.829
4,50%,lzma,-3,1,1677670,1.679
5,75%,xz,-3,1,1677976,1.688
6,100%,lzma,-6,16,1316901,4.907
7,75%,xz,-6,32,1317152,4.855
8,50%,xz,-3,32,1677976,1.725
9,75%,xz,-9,32,1317152,4.879
